school	street	number
BF	ZOAR ST	996
BF	ZOAR ST	997
BF	ZOAR ST	998
BF	ZOAR ST	999
EP	ZOAR ST	0
EP	ZOAR ST	1
EP	ZOAR ST	2
EP	ZOAR ST	3
EP	ZOAR ST	4
EP	ZOAR ST	5
EP	ZOAR ST	6
EP	ZOAR ST	7
EP	ZOAR ST	8
EP	ZOAR ST	9
EP	ZOAR ST	10
EP	ZOAR ST	11
EP	ZOAR ST	12
EP	ZOAR ST	13
EP	ZOAR ST	14
EP	ZOAR ST	15
EP	ZOAR ST	16
EP	ZOAR ST	17
EP	ZOAR ST	18
EP	ZOAR ST	19
EP	ZOAR ST	20
EP	ZOAR ST	21
EP	ZOAR ST	22
EP	ZOAR ST	23
EP	ZOAR ST	24
EP	ZOAR ST	25
EP	ZOAR ST	26
EP	ZOAR ST	27
EP	ZOAR ST	28
EP	ZOAR ST	29
EP	ZOAR ST	30
EP	ZOAR ST	31
EP	ZOAR ST	32
EP	ZOAR ST	33
EP	ZOAR ST	34
EP	ZOAR ST	35
EP	ZOAR ST	36
EP	ZOAR ST	37
EP	ZOAR ST	38
EP	ZOAR ST	39
EP	ZOAR ST	40
SL	QUAKERBRIDGE RD	4018
SL	QUAKERBRIDGE RD	4020
SL	QUAKERBRIDGE RD	4022
SL	QUAKERBRIDGE RD	4024
SL	QUAKERBRIDGE RD	4026
SL	QUAKERBRIDGE RD	4028
SL	QUAKERBRIDGE RD	4030
SL	QUAKERBRIDGE RD	4032
SL	QUAKERBRIDGE RD	4034
SL	QUAKERBRIDGE RD	4036
SL	QUAKERBRIDGE RD	4038
SL	QUAKERBRIDGE RD	4040
SL	QUAKERBRIDGE RD	4042
SL	QUAKERBRIDGE RD	4044
SL	QUAKERBRIDGE RD	4046
SL	QUAKERBRIDGE RD	4048
SL	QUAKERBRIDGE RD	4050
SL	QUAKERBRIDGE RD	4052
SL	QUAKERBRIDGE RD	4054
SL	QUAKERBRIDGE RD	4056
SL	QUAKERBRIDGE RD	4058
SL	QUAKERBRIDGE RD	4060
SL	QUAKERBRIDGE RD	4062
SL	QUAKERBRIDGE RD	4064
SL	QUAKERBRIDGE RD	4066
SL	QUAKERBRIDGE RD	4068
SL	QUAKERBRIDGE RD	4070
SL	QUAKERBRIDGE RD	4072
SL	QUAKERBRIDGE RD	4074
SL	QUAKERBRIDGE RD	4076
SL	QUAKERBRIDGE RD	4078
SL	QUAKERBRIDGE RD	4080
SL	QUAKERBRIDGE RD	4082
SL	QUAKERBRIDGE RD	4084
SL	QUAKERBRIDGE RD	4086
SL	QUAKERBRIDGE RD	4088
SL	QUAKERBRIDGE RD	4090
SL	QUAKERBRIDGE RD	4092
SL	QUAKERBRIDGE RD	4094
SL	QUAKERBRIDGE RD	4096
SL	QUAKERBRIDGE RD	4098
SL	QUAKERBRIDGE RD	4100
SL	QUAKERBRIDGE RD	4102
SL	QUAKERBRIDGE RD	4104
SL	QUAKERBRIDGE RD	4106
SL	QUAKERBRIDGE RD	4108
SL	QUAKERBRIDGE RD	4110
SL	QUAKERBRIDGE RD	4112
SL	QUAKERBRIDGE RD	4114
SL	QUAKERBRIDGE RD	4116
SL	QUAKERBRIDGE RD	4118
SL	QUAKERBRIDGE RD	4120
SL	QUAKERBRIDGE RD	4122
SL	QUAKERBRIDGE RD	4124
SL	QUAKERBRIDGE RD	4126
SL	QUAKERBRIDGE RD	4128
SL	QUAKERBRIDGE RD	4130
SL	QUAKERBRIDGE RD	4132
SL	QUAKERBRIDGE RD	4134
SL	QUAKERBRIDGE RD	4136
SL	QUAKERBRIDGE RD	4138
SL	QUAKERBRIDGE RD	4140
SL	QUAKERBRIDGE RD	4142
SL	QUAKERBRIDGE RD	4144
SL	QUAKERBRIDGE RD	4146
SL	QUAKERBRIDGE RD	4148
SL	QUAKERBRIDGE RD	4150
SL	QUAKERBRIDGE RD	4152
SL	QUAKERBRIDGE RD	4154
SL	QUAKERBRIDGE RD	4156
SL	QUAKERBRIDGE RD	4158
SL	QUAKERBRIDGE RD	4160
SL	QUAKERBRIDGE RD	4162
SL	QUAKERBRIDGE RD	4164
SL	QUAKERBRIDGE RD	4166
SL	QUAKERBRIDGE RD	4168
SL	QUAKERBRIDGE RD	4170
SL	QUAKERBRIDGE RD	4172
SL	QUAKERBRIDGE RD	4174
SL	QUAKERBRIDGE RD	4176
SL	QUAKERBRIDGE RD	4178
SL	QUAKERBRIDGE RD	4180
SL	QUAKERBRIDGE RD	4182
SL	QUAKERBRIDGE RD	4184
SL	QUAKERBRIDGE RD	4186
SL	QUAKERBRIDGE RD	4188
SL	QUAKERBRIDGE RD	4190
SL	QUAKERBRIDGE RD	4192
SL	QUAKERBRIDGE RD	4194
SL	QUAKERBRIDGE RD	4196
SL	QUAKERBRIDGE RD	4198
SL	QUAKERBRIDGE RD	4200
SL	QUAKERBRIDGE RD	4202
SL	QUAKERBRIDGE RD	4204
SL	QUAKERBRIDGE RD	4206
SL	QUAKERBRIDGE RD	4208
SL	QUAKERBRIDGE RD	4210
SL	QUAKERBRIDGE RD	4212
SL	QUAKERBRIDGE RD	4214
SL	QUAKERBRIDGE RD	4216
SL	QUAKERBRIDGE RD	4218
SL	QUAKERBRIDGE RD	4220
SL	QUAKERBRIDGE RD	4222
SL	QUAKERBRIDGE RD	4224
SL	QUAKERBRIDGE RD	4226
SL	QUAKERBRIDGE RD	4228
SL	QUAKERBRIDGE RD	4230
SL	QUAKERBRIDGE RD	4232
SL	QUAKERBRIDGE RD	4234
SL	QUAKERBRIDGE RD	4236
SL	QUAKERBRIDGE RD	4238
SL	QUAKERBRIDGE RD	4240
SL	QUAKERBRIDGE RD	4242
SL	QUAKERBRIDGE RD	4244
SL	QUAKERBRIDGE RD	4246
SL	QUAKERBRIDGE RD	4248
SL	QUAKERBRIDGE RD	4250
SL	QUAKERBRIDGE RD	4252
SL	QUAKERBRIDGE RD	4254
SL	QUAKERBRIDGE RD	4256
SL	QUAKERBRIDGE RD	4258
SL	QUAKERBRIDGE RD	4260
SL	QUAKERBRIDGE RD	4262
BF	QUAKERBRIDGE RD	4264
BF	QUAKERBRIDGE RD	4266
BF	QUAKERBRIDGE RD	4268
BF	QUAKERBRIDGE RD	4270
BF	QUAKERBRIDGE RD	4272
BF	QUAKERBRIDGE RD	4274
BF	QUAKERBRIDGE RD	4276
EP	SKILLMAN AVE	*
BF	SKY CT	*
SL	SLACK AVE	*
EP	SMITHFIELD AVE	*
EP	SNYDER AVE	*
LES	SOCIETY WAY	*
BF	SONNET PLACE	*
BF	SOUTH ST	*
BF	SPRING BEAUTY DR	*
LES	SPRINGWOOD DR	*
SL	SPRUCE ST	834
SL	SPRUCE ST	836
SL	SPRUCE ST	838
SL	SPRUCE ST	840
SL	SPRUCE ST	842
SL	SPRUCE ST	844
SL	SPRUCE ST	846
SL	SPRUCE ST	848
SL	SPRUCE ST	850
SL	SPRUCE ST	852
SL	SPRUCE ST	854
SL	SPRUCE ST	856
SL	SPRUCE ST	858
SL	SPRUCE ST	860
SL	SPRUCE ST	862
SL	SPRUCE ST	864
SL	SPRUCE ST	866
SL	SPRUCE ST	868
SL	SPRUCE ST	870
SL	SPRUCE ST	872
SL	SPRUCE ST	874
SL	SPRUCE ST	876
SL	SPRUCE ST	878
SL	SPRUCE ST	880
SL	SPRUCE ST	882
SL	SPRUCE ST	884
SL	SPRUCE ST	886
SL	SPRUCE ST	888
SL	SPRUCE ST	890
SL	SPRUCE ST	892
SL	SPRUCE ST	894
SL	SPRUCE ST	896
SL	SPRUCE ST	898
SL	SPRUCE ST	900
SL	SPRUCE ST	902
SL	SPRUCE ST	904
SL	SPRUCE ST	906
SL	SPRUCE ST	908
SL	SPRUCE ST	910
SL	SPRUCE ST	912
SL	SPRUCE ST	914
SL	SPRUCE ST	916
SL	SPRUCE ST	918
SL	SPRUCE ST	920
SL	SPRUCE ST	922
SL	SPRUCE ST	924
SL	SPRUCE ST	926
SL	SPRUCE ST	928
SL	SPRUCE ST	930
SL	SPRUCE ST	932
SL	SPRUCE ST	934
SL	SPRUCE ST	936
SL	SPRUCE ST	938
SL	SPRUCE ST	940
SL	SPRUCE ST	942
SL	SPRUCE ST	944
SL	SPRUCE ST	946
SL	SPRUCE ST	948
SL	SPRUCE ST	950
SL	SPRUCE ST	952
SL	SPRUCE ST	954
SL	SPRUCE ST	956
SL	SPRUCE ST	958
SL	SPRUCE ST	960
SL	SPRUCE ST	962
SL	SPRUCE ST	964
SL	SPRUCE ST	966
SL	SPRUCE ST	968
SL	SPRUCE ST	970
SL	SPRUCE ST	972
SL	SPRUCE ST	974
SL	SPRUCE ST	976
SL	SPRUCE ST	978
SL	SPRUCE ST	980
SL	SPRUCE ST	982
SL	SPRUCE ST	984
SL	SPRUCE ST	986
SL	SPRUCE ST	988
SL	SPRUCE ST	990
SL	SPRUCE ST	992
SL	SPRUCE ST	994
SL	SPRUCE ST	996
SL	SPRUCE ST	998
SL	SPRUCE ST	1000
SL	SPRUCE ST	1002
SL	SPRUCE ST	1004
SL	SPRUCE ST	1006
SL	SPRUCE ST	1008
SL	SPRUCE ST	1010
SL	SPRUCE ST	1012
SL	SPRUCE ST	1014
SL	SPRUCE ST	1016
SL	SPRUCE ST	1018
SL	SPRUCE ST	1020
SL	SPRUCE ST	1022
SL	SPRUCE ST	1024
SL	SPRUCE ST	1026
SL	SPRUCE ST	1028
SL	SPRUCE ST	1030
SL	SPRUCE ST	1032
SL	SPRUCE ST	1034
SL	SPRUCE ST	1036
SL	SPRUCE ST	1038
SL	SPRUCE ST	1040
SL	SPRUCE ST	1042
SL	SPRUCE ST	1044
SL	SPRUCE ST	1046
SL	SPRUCE ST	1048
SL	SPRUCE ST	1050
SL	SPRUCE ST	1052
SL	SPRUCE ST	1054
SL	SPRUCE ST	1056
SL	SPRUCE ST	1058
SL	SPRUCE ST	1060
SL	SPRUCE ST	1062
SL	SPRUCE ST	1064
SL	SPRUCE ST	1066
SL	SPRUCE ST	1068
SL	SPRUCE ST	1070
SL	SPRUCE ST	1072
SL	SPRUCE ST	1074
SL	SPRUCE ST	1076
SL	SPRUCE ST	1078
SL	SPRUCE ST	1080
SL	SPRUCE ST	1082
SL	SPRUCE ST	1084
SL	SPRUCE ST	1086
SL	SPRUCE ST	1088
SL	SPRUCE ST	1090
SL	SPRUCE ST	1092
SL	SPRUCE ST	1094
SL	SPRUCE ST	1096
SL	SPRUCE ST	1098
SL	SPRUCE ST	1100
SL	SPRUCE ST	1102
SL	SPRUCE ST	1104
SL	SPRUCE ST	1106
SL	SPRUCE ST	1108
SL	SPRUCE ST	1110
SL	SPRUCE ST	1112
SL	SPRUCE ST	1114
SL	SPRUCE ST	1116
SL	SPRUCE ST	1118
SL	SPRUCE ST	1120
EP	STELLA DR	*
SL	STEVENS AVE	*
EP	STEWARDS CRSSNG WAY/CIRCLE	*
LES	STONERISE DR	*
LES	STONY CREEK PLACE	*
BF	STONICKER DR	*
SL	STOUT CT	*
BF	STRATFORD DR	*
SL	STRATTON PLACE	*
SL	STREAM DR	*
BF	STURWOOD WAY	*
EP	SUNSET RD	*
BF	SURREY DR	*
LES	SYCAMORE CT	*
LES	TALL TIMBERS DR	*
BF	TALON CT	*
BF	TAMAR CT	*
SL	TARTAN CT	*
BF	TEAK LANE	*
BF	TEMPLE TERR	*
EP	TEXAS AVE	*
BF	THERESA DR	*
EP	TIFFANY WOODS RD	*
LES	TIOGA AVE	*
LES	TITUS AVE	*
LES	TOFTREES CT	*
BF	TOMLYN DR	*
SL	TOMPKINS PLACE	*
BF	TOWER PLACE	*
BF	TOWN CT (ALL)	*
BF	TRACEY DR	*
EP	TRADITIONS WAY	*
BF	TRAFALGAR CT	*
SL	TRUMBULL AVE	*
EP	TUDOR LANE	*
EP	TULANE AVE	*
